InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
553074,22994,TRAVEL CARD WALLET RETROSPOT,4,2011-05-13 11:45:00,0.42,15529.0,United Kingdom
554098,23175,REGENCY MILK JUG PINK ,1,2011-05-22 13:01:00,3.25,14769.0,United Kingdom
540821,85114C,RED ENCHANTED FOREST PLACEMAT,2,2011-01-11 13:16:00,3.36,,United Kingdom
568056,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2011-09-23 12:55:00,1.65,12705.0,Germany
536743,22653,BUTTON BOX ,2,2010-12-02 13:32:00,1.95,17964.0,United Kingdom
560552,23033,DRAWER KNOB CERAMIC RED,96,2011-07-19 12:54:00,1.25,15311.0,United Kingdom
557309,21208,PASTEL COLOUR HONEYCOMB FAN,48,2011-06-19 15:15:00,0.39,16493.0,United Kingdom
538524,22847,BREAD BIN DINER STYLE IVORY,1,2010-12-13 09:35:00,34.0,,United Kingdom
577504,22580,ADVENT CALENDAR GINGHAM SACK,2,2011-11-20 12:36:00,5.95,14159.0,United Kingdom
551160,21500,PINK POLKADOT WRAP ,25,2011-04-26 15:04:00,0.42,15237.0,United Kingdom
572673,79321,CHILLI LIGHTS,4,2011-10-25 13:16:00,5.75,13309.0,United Kingdom
544208,84997a,GREEN 3 PIECE POLKADOT CUTLERY SET,1,2011-02-17 10:34:00,8.29,,United Kingdom
571554,20675,BLUE POLKADOT BOWL,3,2011-10-18 09:13:00,2.46,,United Kingdom
553527,22971,QUEENS GUARD COFFEE MUG,6,2011-05-17 14:57:00,2.55,15123.0,United Kingdom
540154,84968A,SET OF 16 VINTAGE ROSE CUTLERY,2,2011-01-05 11:30:00,8.47,,United Kingdom
544177,20761,BLUE PAISLEY SKETCHBOOK,1,2011-02-16 14:27:00,3.75,13001.0,United Kingdom
568795,84991,60 TEATIME FAIRY CAKE CASES,4,2011-09-29 10:19:00,0.55,17870.0,United Kingdom
573576,22174,PHOTO CUBE,4,2011-10-31 14:09:00,3.29,14096.0,United Kingdom
540645,85016,SET OF 6 VINTAGE NOTELETS KIT,144,2011-01-10 14:20:00,0.65,14060.0,United Kingdom
543251,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-02-04 14:51:00,4.95,14194.0,United Kingdom
579508,23366,SET 12 COLOURING PENCILS DOILY,1,2011-11-29 16:33:00,1.25,,United Kingdom
574074,23565,EGG CUP MILKMAID HELGA ,1,2011-11-02 15:33:00,2.46,,United Kingdom
559289,22919,HERB MARKER MINT,1,2011-07-07 12:22:00,0.65,15719.0,United Kingdom
560779,21930,JUMBO STORAGE BAG SKULLS,5,2011-07-21 09:30:00,4.96,,United Kingdom
581010,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,35,2011-12-07 09:18:00,0.29,17503.0,United Kingdom
552883,22297,HEART IVORY TRELLIS SMALL,288,2011-05-12 10:13:00,1.06,14646.0,Netherlands
544293,21975,PACK OF 60 DINOSAUR CAKE CASES,2,2011-02-17 12:42:00,0.55,17954.0,United Kingdom
561043,22795,SWEETHEART RECIPE BOOK STAND,2,2011-07-24 12:20:00,6.75,15708.0,United Kingdom
552547,22502,PICNIC BASKET WICKER SMALL,16,2011-05-10 10:34:00,4.95,13098.0,United Kingdom
548893,22456,NATURAL SLATE CHALKBOARD LARGE ,1,2011-04-04 15:54:00,9.96,,United Kingdom
540509,11001,ASSTD DESIGN RACING CAR PEN,16,2011-01-09 11:27:00,1.69,14800.0,United Kingdom
574826,20751,FUNKY WASHING UP GLOVES ASSORTED,1,2011-11-07 10:58:00,2.1,15870.0,United Kingdom
570418,23012,GLASS APOTHECARY BOTTLE PERFUME,4,2011-10-10 13:31:00,3.95,15211.0,United Kingdom
